class_name,image_count,average_width,average_height,min_width,max_width,min_height,max_height
Apple_leaf,79,748.73,695.96,300,3940,300,2720
Apple_rust_leaf,96,833.8,754.01,200,5184,150,4016
Apple_Scab_Leaf,83,936.25,799.24,119,5184,150,5184
Bell_pepper_leaf,34,643.76,651.5,230,2400,286,2400
Bell_pepper_leaf_spot,74,832.85,765.15,202,3000,180,3832
Blueberry_leaf,106,1325.37,1071.95,347,5616,300,3744
Cherry_leaf,47,1469.06,1306.38,350,5184,300,3456
Corn_Gray_leaf_spot,63,710.19,563.92,200,5184,191,3456
Corn_leaf_blight,182,862.15,803.62,194,4608,185,3456
Corn_rust_leaf,107,1044.7,882.38,300,4032,200,4272
grape_leaf,63,1454.0,1354.52,384,4000,384,3200
grape_leaf_black_rot,71,777.65,712.62,150,3439,150,3109
Peach_leaf,103,1242.26,1197.61,375,5472,363,3648
Potato_leaf_early_blight,157,638.02,550.96,225,4000,197,2992
Potato_leaf_late_blight,200,559.6,522.47,250,3284,195,3000
Raspberry_leaf,112,1306.58,1101.62,400,3872,333,3264
Soyabean_leaf,57,1451.37,1160.11,396,5184,329,4320
Squash_Powdery_mildew_leaf,124,1168.68,929.7,189,4320,225,4000
Strawberry_leaf,88,1367.52,1108.75,450,5184,335,3456
Tomato_Early_blight_leaf,79,782.09,628.94,150,3872,150,2592
Tomato_leaf,44,1086.16,976.02,300,3872,273,2592
Tomato_leaf_bacterial_spot,101,796.89,655.34,150,4000,150,3000
Tomato_leaf_late_blight,101,1145.08,974.66,225,4416,154,3370
Tomato_leaf_mosaic_virus,44,543.23,464.5,150,3648,138,2736
Tomato_leaf_yellow_virus,223,435.64,423.08,115,1600,159,1462
Tomato_mold_leaf,85,961.41,866.45,115,6000,85,6000
Tomato_Septoria_leaf_spot,145,758.79,675.88,143,3655,137,3264
Tomato_two_spotted_spider_mites_leaf,2,960.0,720.0,960,960,720,720
