class_name,image_count,average_width,average_height,min_width,max_width,min_height,max_height
Apple___Apple_scab,630,256.0,256.0,256,256,256,256
Apple___Black_rot,621,256.0,256.0,256,256,256,256
Apple___Cedar_apple_rust,275,256.0,256.0,256,256,256,256
Apple___healthy,1645,256.0,256.0,256,256,256,256
Blueberry___healthy,1502,256.0,256.0,256,256,256,256
Cherry_(including_sour)___healthy,854,256.0,256.0,256,256,256,256
Cherry_(including_sour)___Powdery_mildew,1052,256.0,256.0,256,256,256,256
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,513,256.0,256.0,256,256,256,256
Corn_(maize)___Common_rust_,1192,256.0,256.0,256,256,256,256
Corn_(maize)___healthy,1162,256.0,256.0,256,256,256,256
Corn_(maize)___Northern_Leaf_Blight,985,256.0,256.0,256,256,256,256
Grape___Black_rot,1180,256.0,256.0,256,256,256,256
Grape___Esca_(Black_Measles),1383,256.0,256.0,256,256,256,256
Grape___healthy,423,256.0,256.0,256,256,256,256
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1076,256.0,256.0,256,256,256,256
Orange___Haunglongbing_(Citrus_greening),5507,256.0,256.0,256,256,256,256
Peach___Bacterial_spot,2297,256.0,256.0,256,256,256,256
Peach___healthy,360,256.0,256.0,256,256,256,256
"Pepper,_bell___Bacterial_spot",997,256.0,256.0,256,256,256,256
"Pepper,_bell___healthy",1478,256.0,256.0,256,256,256,256
Potato___Early_blight,1000,256.0,256.0,256,256,256,256
Potato___healthy,152,256.0,256.0,256,256,256,256
Potato___Late_blight,1000,256.0,256.0,256,256,256,256
Raspberry___healthy,371,256.0,256.0,256,256,256,256
Soybean___healthy,5090,256.0,256.0,256,256,256,256
Squash___Powdery_mildew,1835,256.0,256.0,256,256,256,256
Strawberry___healthy,456,256.0,256.0,256,256,256,256
Strawberry___Leaf_scorch,1109,256.0,256.0,256,256,256,256
Tomato___Bacterial_spot,2127,256.0,256.0,256,256,256,256
Tomato___Early_blight,1000,256.0,256.0,256,256,256,256
Tomato___healthy,1591,256.0,256.0,256,256,256,256
Tomato___Late_blight,1909,256.0,256.0,256,256,256,256
Tomato___Leaf_Mold,952,256.0,256.0,256,256,256,256
Tomato___Septoria_leaf_spot,1771,256.0,256.0,256,256,256,256
Tomato___Spider_mites Two-spotted_spider_mite,1676,256.0,256.0,256,256,256,256
Tomato___Target_Spot,1404,256.0,256.0,256,256,256,256
Tomato___Tomato_mosaic_virus,373,256.0,256.0,256,256,256,256
Tomato___Tomato_Yellow_Leaf_Curl_Virus,5357,256.0,256.0,256,256,256,256
