image_path,class_name,dataset
datasets\raw\plantdoc_classification\train\Tomato_leaf_bacterial_spot\train_Tomato leaf bacterial spot_85.jpg,Tomato_leaf_bacterial_spot,plantdoc_classification
datasets\raw\plantdoc_classification\train\Tomato_leaf\train_Tomato leaf_15.jpg,Tomato_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Tomato_leaf_yellow_virus\train_Tomato leaf yellow virus_45.jpg,Tomato_leaf_yellow_virus,plantdoc_classification
datasets\raw\plantdoc_classification\train\Apple_leaf\train_Apple leaf_26.jpg,Apple_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Corn_leaf_blight\train_Corn leaf blight_21.jpg,Corn_leaf_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Peach_leaf\train_Peach leaf_16.jpg,Peach_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Potato_leaf_late_blight\train_Potato leaf late blight_48_6.jpg,Potato_leaf_late_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Corn_leaf_blight\train_Corn leaf blight_147.jpg,Corn_leaf_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Tomato_Septoria_leaf_spot\train_Tomato Septoria leaf spot_50.jpg,Tomato_Septoria_leaf_spot,plantdoc_classification
datasets\raw\plantdoc_classification\train\Squash_Powdery_mildew_leaf\train_Squash Powdery mildew leaf_12.jpg,Squash_Powdery_mildew_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Corn_Gray_leaf_spot\train_Corn Gray leaf spot_13.jpg,Corn_Gray_leaf_spot,plantdoc_classification
datasets\raw\plantdoc_classification\train\Apple_rust_leaf\train_Apple rust leaf_55_2.jpg,Apple_rust_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Apple_rust_leaf\train_Apple rust leaf_21.jpg,Apple_rust_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Cherry_leaf\train_Cherry leaf_44.jpg,Cherry_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Tomato_leaf_yellow_virus\train_Tomato leaf yellow virus_21_4.jpg,Tomato_leaf_yellow_virus,plantdoc_classification
datasets\raw\plantdoc_classification\train\Squash_Powdery_mildew_leaf\train_Squash Powdery mildew leaf_123.jpg,Squash_Powdery_mildew_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Tomato_leaf_yellow_virus\train_Tomato leaf yellow virus_23_3.jpg,Tomato_leaf_yellow_virus,plantdoc_classification
datasets\raw\plantdoc_classification\train\Bell_pepper_leaf_spot\train_Bell_pepper leaf spot_50.jpg,Bell_pepper_leaf_spot,plantdoc_classification
datasets\raw\plantdoc_classification\train\Potato_leaf_early_blight\train_Potato leaf early blight_102.jpg,Potato_leaf_early_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Tomato_leaf_yellow_virus\train_Tomato leaf yellow virus_8_27.jpg,Tomato_leaf_yellow_virus,plantdoc_classification
datasets\raw\plantdoc_classification\train\Raspberry_leaf\train_Raspberry leaf_76.jpg,Raspberry_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Squash_Powdery_mildew_leaf\train_Squash Powdery mildew leaf_4.jpg,Squash_Powdery_mildew_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Tomato_leaf_late_blight\train_Tomato leaf late blight_98.jpg,Tomato_leaf_late_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Strawberry_leaf\train_Strawberry leaf_42.jpg,Strawberry_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Tomato_leaf_mosaic_virus\train_Tomato leaf mosaic virus_33.jpg,Tomato_leaf_mosaic_virus,plantdoc_classification
datasets\raw\plantdoc_classification\train\Corn_leaf_blight\train_Corn leaf blight_75.jpg,Corn_leaf_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Tomato_leaf\train_Tomato leaf_37_2.jpg,Tomato_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Corn_rust_leaf\train_Corn rust leaf_88.jpg,Corn_rust_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Apple_leaf\train_Apple leaf_59.jpg,Apple_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Potato_leaf_late_blight\train_Potato leaf late blight_38_1.jpg,Potato_leaf_late_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Corn_rust_leaf\train_Corn rust leaf_79.jpg,Corn_rust_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Soyabean_leaf\train_Soyabean leaf_54.jpg,Soyabean_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Apple_Scab_Leaf\train_Apple Scab Leaf_42.jpg,Apple_Scab_Leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Potato_leaf_late_blight\train_Potato leaf late blight_84_2.jpg,Potato_leaf_late_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Bell_pepper_leaf_spot\train_Bell_pepper leaf spot_25_1.jpg,Bell_pepper_leaf_spot,plantdoc_classification
datasets\raw\plantdoc_classification\train\Tomato_leaf_yellow_virus\train_Tomato leaf yellow virus_66_3.jpg,Tomato_leaf_yellow_virus,plantdoc_classification
datasets\raw\plantdoc_classification\train\Apple_rust_leaf\train_Apple rust leaf_27.jpg,Apple_rust_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Strawberry_leaf\train_Strawberry leaf_8.jpg,Strawberry_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Soyabean_leaf\train_Soyabean leaf_6.jpg,Soyabean_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Potato_leaf_early_blight\train_Potato leaf early blight_87.jpg,Potato_leaf_early_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Strawberry_leaf\train_Strawberry leaf_29.jpg,Strawberry_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Corn_rust_leaf\train_Corn rust leaf_29.jpg,Corn_rust_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Apple_leaf\train_Apple leaf_68.jpg,Apple_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Tomato_leaf_late_blight\train_Tomato leaf late blight_53.jpg,Tomato_leaf_late_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Strawberry_leaf\train_Strawberry leaf_5.jpg,Strawberry_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Apple_Scab_Leaf\train_Apple Scab Leaf_29.jpg,Apple_Scab_Leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Tomato_leaf_yellow_virus\train_Tomato leaf yellow virus_69_3.jpg,Tomato_leaf_yellow_virus,plantdoc_classification
datasets\raw\plantdoc_classification\train\Squash_Powdery_mildew_leaf\train_Squash Powdery mildew leaf_34.jpg,Squash_Powdery_mildew_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Apple_Scab_Leaf\train_Apple Scab Leaf_15.jpg,Apple_Scab_Leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Corn_leaf_blight\train_Corn leaf blight_55.jpg,Corn_leaf_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Apple_Scab_Leaf\train_Apple Scab Leaf_23.jpg,Apple_Scab_Leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Potato_leaf_early_blight\train_Potato leaf early blight_78_3.jpg,Potato_leaf_early_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Tomato_Septoria_leaf_spot\train_Tomato Septoria leaf spot_41.jpg,Tomato_Septoria_leaf_spot,plantdoc_classification
datasets\raw\plantdoc_classification\train\grape_leaf\train_grape leaf_49_1.jpg,grape_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Apple_rust_leaf\train_Apple rust leaf_55_1.jpg,Apple_rust_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Corn_rust_leaf\train_Corn rust leaf_23.jpg,Corn_rust_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Raspberry_leaf\train_Raspberry leaf_103.jpg,Raspberry_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Raspberry_leaf\train_Raspberry leaf_9.jpg,Raspberry_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Corn_Gray_leaf_spot\train_Corn Gray leaf spot_1.jpg,Corn_Gray_leaf_spot,plantdoc_classification
datasets\raw\plantdoc_classification\train\Blueberry_leaf\train_Blueberry leaf_75.jpg,Blueberry_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Bell_pepper_leaf_spot\train_Bell_pepper leaf spot_14.jpg,Bell_pepper_leaf_spot,plantdoc_classification
datasets\raw\plantdoc_classification\train\Blueberry_leaf\train_Blueberry leaf_83.jpg,Blueberry_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Strawberry_leaf\train_Strawberry leaf_72.jpg,Strawberry_leaf,plantdoc_classification
datasets\raw\plantdoc_classification\train\Potato_leaf_early_blight\train_Potato leaf early blight_10.jpg,Potato_leaf_early_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Corn_leaf_blight\train_Corn leaf blight_140.jpg,Corn_leaf_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Potato_leaf_early_blight\train_Potato leaf early blight_62.jpg,Potato_leaf_early_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Potato_leaf_late_blight\train_Potato leaf late blight_4.jpg,Potato_leaf_late_blight,plantdoc_classification
datasets\raw\plantdoc_classification\train\Corn_rust_leaf\train_Corn rust leaf_70.jpg,Corn_rust_leaf,plantdoc_classification
